date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:48	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:18%20GMT	https://api.shopgmail9999.com/robots.txt		(from )
14:56:49	35437/35437	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:19%20GMT	https://api.shopgmail9999.com/	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/index.html	(from )
14:56:50	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:20%20GMT	https://api.shopgmail9999.com/Account/Login	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Login.html	(from https://api.shopgmail9999.com/)
14:56:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:20%20GMT	https://api.shopgmail9999.com/OtpGmail	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/OtpGmail	(from https://api.shopgmail9999.com/)
14:56:51	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:21%20GMT	http://api.shopgmail9999.com/Account/Login?ReturnUrl=%2FOtpGmail	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Loginf6d7.html	(from https://api.shopgmail9999.com/)
14:56:51	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:21%20GMT	https://api.shopgmail9999.com/GmailAPI	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/GmailAPI	(from https://api.shopgmail9999.com/)
14:56:52	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:22%20GMT	http://api.shopgmail9999.com/Account/Login?ReturnUrl=%2FGmailAPI	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Login8e36.html	(from https://api.shopgmail9999.com/)
14:56:52	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:23%20GMT	https://api.shopgmail9999.com/OrdersHistory	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/OrdersHistory	(from https://api.shopgmail9999.com/)
14:56:53	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:23%20GMT	http://api.shopgmail9999.com/Account/Login?ReturnUrl=%2FOrdersHistory	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Loginbfbc.html	(from https://api.shopgmail9999.com/)
14:56:53	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:24%20GMT	https://api.shopgmail9999.com/Deposit	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Deposit	(from https://api.shopgmail9999.com/)
14:56:54	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:24%20GMT	http://api.shopgmail9999.com/Account/Login?ReturnUrl=%2FDeposit	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Login2ed2.html	(from https://api.shopgmail9999.com/)
14:56:54	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:25%20GMT	https://api.shopgmail9999.com/UserInfo	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/UserInfo	(from https://api.shopgmail9999.com/)
14:56:55	12508/12508	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:25%20GMT	http://api.shopgmail9999.com/Account/Login?ReturnUrl=%2FUserInfo	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/Account/Loginbe1c.html	(from https://api.shopgmail9999.com/)
14:56:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Aug%202025%2007:57:26%20GMT	https://api.shopgmail9999.com/docs	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs	(from https://api.shopgmail9999.com/)
14:56:56	714/714	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Aug%202025%2007:57:27%20GMT	https://api.shopgmail9999.com/docs/index.html	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/index.html	(from https://api.shopgmail9999.com/)
14:56:56	71188/71188	---M--	200	added ('OK')	image/png	etag:%221dbbcf399bce114%22	https://api.shopgmail9999.com/img/Gmail.png	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/img/Gmail.png	(from https://api.shopgmail9999.com/)
14:56:57	89501/89501	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dafe6c447e919d%22	https://api.shopgmail9999.com/lib/jquery/dist/jquery.min.js?v=_xUj-3OJU5yExlq6GSYGSHk7tPXikynS7ogEvDej_m4	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/lib/jquery/dist/jquery.min7b85.js	(from https://api.shopgmail9999.com/)
14:56:57	78468/78468	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dafe6c447efe84%22	https://api.shopgmail9999.com/lib/bootstrap/dist/js/bootstrap.bundle.min.js?v=KuvCVS19rfTjoLgMyDDCdOkRRlhNrY4psEM4uezts2M	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/lib/bootstrap/dist/js/bootstrap.bundle.min87af.js	(from https://api.shopgmail9999.com/)
14:56:58	6274/6274	---MCZ	200	added ('OK')	text/css	etag:W/%221dbe424c6a1bf82%22	https://api.shopgmail9999.com/css/site.css?v=xZiX7ZXFOtDkKeLCEANN-xWhOXB7ha6D-VQqRvRlXqU	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/css/site7d21.css	(from https://api.shopgmail9999.com/)
14:56:59	4212/4212	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbfbad87926d74%22	https://api.shopgmail9999.com/js/site.js?v=dWOpkP68v8BAeJ2r3lP2HAPuR528qehPLx4bmQxTjio	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/js/site8223.js	(from https://api.shopgmail9999.com/)
14:56:59	2067/2067	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbb647f4968d13%22	https://api.shopgmail9999.com/js/Navbar.js?v=3fJf9ScgFaGfh_AJbbTWoILgTM-pUIjAjrMKhTWJyrw	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/js/Navbar61e2.js	(from https://api.shopgmail9999.com/)
14:57:00	20475/20475	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dc05f4680b0c7b%22	https://api.shopgmail9999.com/js/GmailAPIUser.js?v=FFeLeSMyDvzMoQcPnMkAz27Q0jI3KBs3JNTeWNR2cvo	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/js/GmailAPIUser89de.js	(from https://api.shopgmail9999.com/)
14:57:00	3827/3827	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbb5f522061df3%22	https://api.shopgmail9999.com/js/signalR.js?v=DH7M75EOf1EyHvgy3LrVV47-phD9D2JC0ul8qlZrKyk	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/js/signalRbc79.js	(from https://api.shopgmail9999.com/)
14:57:01	8015/8015	---MCZ	200	added ('OK')	text/javascript	etag:W/%221dbe5185ecc97cf%22	https://api.shopgmail9999.com/js/BuyGmail.js?v=GT6Qj6_Fx0BmFFlFeP6EuYRS8wDrR6Qoao9X6ukm35Q	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/js/BuyGmail2510.js	(from https://api.shopgmail9999.com/)
14:57:02	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Aug%202025%2007:57:32%20GMT	http://api.shopgmail9999.com/robots.txt		(from https://api.shopgmail9999.com/)
14:57:03	154948/154948	---MCZ	200	added ('OK')	text/css	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/swagger-ui.css	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/swagger-ui.css	(from https://api.shopgmail9999.com/docs/index.html)
14:57:03	202/202	---MCZ	200	added ('OK')	text/css	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/index.css	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/index.css	(from https://api.shopgmail9999.com/docs/index.html)
14:57:03	628/628	---M--	200	added ('OK')	image/png	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/favicon-32x32.png	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/favicon-32x32.png	(from https://api.shopgmail9999.com/docs/index.html)
14:57:04	665/665	---M--	200	added ('OK')	image/png	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/favicon-16x16.png	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/favicon-16x16.png	(from https://api.shopgmail9999.com/docs/index.html)
14:57:04	1466741/1466741	---MCZ	200	added ('OK')	text/javascript	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/swagger-ui-bundle.js	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/swagger-ui-bundle.js	(from https://api.shopgmail9999.com/docs/index.html)
14:57:05	229223/229223	---MCZ	200	added ('OK')	text/javascript	etag:W/%225.20.2%22	https://api.shopgmail9999.com/docs/swagger-ui-standalone-preset.js	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/swagger-ui-standalone-preset.js	(from https://api.shopgmail9999.com/docs/index.html)
14:57:06	3118/3118	---MCZ	200	added ('OK')	application/javascript	etag:W/%22M7fj/KEtNR+jJmXFLgqLSg0IfZE=%22	https://api.shopgmail9999.com/docs/index.js	C:/My%20Web%20Sites/ShopGmail9999/api.shopgmail9999.com/docs/index.js	(from https://api.shopgmail9999.com/docs/index.html)
